date,states,positive,negative,pending,death,total,totalTestResults,population
20200304,14,118,748,103,10,969,866,328200000
20200305,24,176,953,197,11,1326,1129,328200000
20200306,36,223,1571,458,14,2252,1794,328200000
20200307,51,341,1809,602,16,2752,2150,328200000
20200308,51,417,2335,347,18,3099,2752,328200000
20200309,51,584,3367,313,22,4264,3951,328200000
20200310,51,778,3807,469,24,5054,4585,328200000
20200311,51,1054,6070,563,27,7687,7124,328200000
20200312,51,1315,8041,673,36,10029,9356,328200000
20200313,51,1922,13613,1130,39,16665,15535,328200000
20200314,51,2450,17102,1236,49,20788,19552,328200000
20200315,51,3173,22551,2242,60,27966,25724,328200000
20200316,56,4019,36104,1691,71,41814,40123,328200000
20200317,56,5722,47604,1687,90,55013,53326,328200000
20200318,56,7730,66225,2526,112,76481,73955,328200000
20200319,56,11719,89153,3016,160,103888,100872,328200000
20200320,56,17033,118147,3327,219,138507,135180,328200000
20200321,56,23197,155909,3468,272,182574,179106,328200000
20200322,56,31879,193463,2842,398,228184,225342,328200000
20200323,56,42152,237321,14571,471,294044,279473,328200000
20200324,56,51954,292778,14433,675,359165,344732,328200000
20200325,56,63928,357604,51235,900,472767,421532,328200000
20200326,56,80735,438603,60251,1163,579589,519338,328200000
20200327,56,99413,527220,60091,1530,686724,626633,328200000
20200328,56,118234,617470,65709,1965,801413,735704,328200000
20200329,56,139061,692290,65545,2428,896896,831351,328200000
20200330,56,160530,784324,65369,2939,1010223,944854,328200000
20200331,56,184683,864201,59518,3746,1108402,1048884,328200000
20200401,56,210816,939190,59669,4700,1209675,1150006,328200000
20200402,56,239099,1028649,62101,5784,1329849,1267748,328200000
20200403,56,271988,1135356,61980,6962,1469324,1407344,328200000
20200404,112,611510,2636104,31146,16628,3278760,3247614,328200000
