huc,huc_name,name,site_no,station_nm
01,New England Region,Presumpscot River,01064118,"Presumpscot River at Westbrook, ME"
01,New England Region,Merrimack River,01100693,"Merrimack River 0.3 Miles U.S.Rt 125 at Haverhill, ME"
01,New England Region,Charles River,01104705,"Charles River at First St at Cambridge, MA"
01,New England Region,Saco River,432742070225401,"Saco River at Camp Ellis Near Saco, ME"
01,New England Region,Kennebec River,01049505,"Kennebec River at Gardiner, ME"
01,New England Region,Piscataqua River,430521070453501,Piscataqua River
01,New England Region,Connecticut River,01194796,"Connecticut River at Old Lyme, CT"
01,New England Region,Seekonk River,414945071224100,"Seekonk River at Henderson Bridge, RI"
02,Mid Atlantic Region,Delaware River,01477050,"Delaware River at Chester, PA"
02,Mid Atlantic Region,Susquehana River,01578310,"Susquehanna River at Conowingo, MD"
02,Mid Atlantic Region,James River,02042770,"James River at Jamestown Ferry Pier, VA"
02,Mid Atlantic Region,Potomac River,165258890,"Potomac River at Cameron St Dock at Alexandria, VA"
02,Mid Atlantic Region,Hudson River ,01376515,"Hudson River at Pier 84 at New York, NY"
03,South Atlantic-Gulf Region,Mobile River ,02470629,"Mobile River at River Mile 31.0 at Bucks, AL"
03,South Atlantic-Gulf Region,Suwannee River,02323567,"Suwannee River at Manatee Springs near Old Town, FL"
03,South Atlantic-Gulf Region,Savannah River,02198840,"Savannah River (I-95) Near Port Wentworth, GA"
04,Great Lakes Region,Saint Lawrence River ,04264331,"St. Lawrence River at Cornwall Ont near Massena, NY"
04,Great Lakes Region,Richelieu River,042950000,"Richelieu River (Lake Champlain) at Rouses Point Bridge, NY"
05,Ohio Region,Ohio River ,370812089055901,"Ohio River at Olmstead Buoy 3, IL"
06,Tennessee Region,Tennessee River ,370221088314100,"Tennessee River at Mile 5.3 near Paducah, KY"
07,Upper Mississippi Region,Upper Mississippi River,07022000,"Mississippi River at Thebes, IL"
08,Lower Mississippi Region,Mississippi River ,07374000,"Mississippi River at Baton Rouge, LA"
09,Souris-Red-Rainy Region,Rainy River,05137500,"Rainy River Near Boat Landing at Wheelers Point, MN"
09,Souris-Red-Rainy Region,Warroad River,05140515,"Warroad River Near Highway 11 at Warroad, MN"
09,Souris-Red-Rainy Region,Souris River,05124000,"Souris River near Westhope, ND"
09,Souris-Red-Rainy Region,Red River of the North,05102490,"Red River Of The North at Pembina, ND"
10,Missouri Region,Missouri River ,06935965,"Missouri River at St. Charles, MO"
11,Arkansas-White-Red Region,Arkansas River ,07263650,"Arkansas River at Pine Bluff, AR"
11,Arkansas-White-Red Region,White River ,07074850,"White River near Augusta, AR"
11,Arkansas-White-Red Region,Red River ,07355690,"Red River north of Simmesport, LA"
11,Arkansas-White-Red Region,Little Red River,07076634,"Little Red River at Judsonia, AR"
12,Texas-Gulf Region,Neuces River,08211500,"Nueces River at Calallen, TX"
12,Texas-Gulf Region,Colorado River of Texas,08162501,"Colorado River near Wadsworth, TX"
12,Texas-Gulf Region,Guadalupe River,08188810,"Guadalupe River at Sh 35 near Tivoli, TX"
12,Texas-Gulf Region,Sabine River,08030540,"Sabine River (At Navy Pier) at Orange, TX"
12,Texas-Gulf Region,Neches River,08041780,"Neches River Saltwater Barrier at Beaumont, TX"
12,Texas-Gulf Region,Brazos River,08117300,"Brazos River at Giww Flood Gates near Freeport, TX"
13,Rio Grande Region,Rio Grande,08473700,"Rio Grande near San Benito, TX"
14,Upper Colorado Region,Upper Colorado River,09328990,"Colorado River Ab Dirty Devil River near Hite, UT"
15,Lower Colorado Region,Colorado River ,330131114364101,"Colorado River at Section 18S, AZ"
16,Great Basin Region,Humboldt River,10335000,"Humboldt River near Rye Patch, NV"
16,Great Basin Region,Jordan River,10172600,"Jordan River @ Cudahy Lane near Salt Lake City, UT"
16,Great Basin Region,Bear River,10126000,"Bear River Near Corinne, UT"
16,Great Basin Region,Weber River,10141000,"Weber River Near Plain City, UT"
17,Pacific Northwest Region,Columbia River ,14246900,"Columbia River at Port Westward, Near Quincy, OR"
17,Pacific Northwest Region,Hoh River,12041200,"Hoh River at Us Highway 101 Near Forks, WA"
17,Pacific Northwest Region,Chehalis River,12038400,"Chehalis River Below Wishkah River at Hoquiam, WA"
17,Pacific Northwest Region,Skagit River ,12200500,"Skagit River Near Mount Vernon, WA"
17,Pacific Northwest Region,Rogue River,14378430,"Rogue River at Hwy 101 Bridge, at Wedderburn, OR"
18,California Region,Eel River,11479560,"Eel River at Fernbridge, CA"
18,California Region,Klamath River ,11530500,"Klamath River near Klamath, CA"
18,California Region,Sacramento River ,11455420,"Sacramento River at Rio Vista, CA"
18,California Region,Salinas River,11152500,"Salinas River near Spreckels, CA"
18,California Region,Santa Clara River,341859119053301,"Santa Clara Rivernear Haines, CA"
18,California Region,Kern River,11194000,"Kern River near Bakersfield, CA"
18,California Region,San Joaquin,11337190,"San Joaquin River at Jersey Point, CA"
