name,hydroscope,huc,huc_name,station_nm,site_number,vector
Arkansas River,"When French traders sought to exchange goods with Canadian Native tribes along the Arkansas River, they learned that the birchbark canoes they had been using to the North were too light. Instead, they learned to make dugout canoes called pirogues from the surrounding cottonwood trees. You may need to learn from the people and setting around you to adjust a strategy you've used in the past. The Arkansas River's path has changed over time, and so will yours. ",11,Arkansas-White-Red Region,"Arkansas River at Pine Bluff, AR",7263650,
Bear River,"The Bear River makes almost a full U-turn, and it is the longest river in North America that doesn't ultimately reach the sea. Don't be discouraged when you feel you are retracing old steps, or not bound for the same destination as others. You are simply on an unconventional path to success.",16,Great Basin Region,"Bear River Near Corinne, UT",10126000,
Brazos River,"The Brazos River's full name means ""The River of the Arms of God"", and it is sometimes used to mark the boundary between East and West Texas. In 2012, the lower Brazos received 33.4 million pounds of toxic waste from natural gas, fracking, and agricultural chemicals in the area. Remember that most issues are not black and white. It is more important to keep your body and spirit clean and healthy than spend time and energy putting up walls. You can wield immense personal power when you surrender to the bigger picture.",12,Texas-Gulf Region,"Brazos River at Giww Flood Gates near Freeport, TX",8117300,
Charles River,"The Native name for the Charles River is ""Quinobequin"", which means ""meandering""; this river doubles back on itself several times. The nation's very first mills and industrial canals were diverted from it. The Charles River directly supported a booming economy, but at the price of its purity; efforts to improve the water quality of the river persist today, and swimmers may not enter it without a special permit. Despite taking what others may consider to be a meandering route, you are a very productive person.  As you begin new ventures, plan how you will take care of yourself, lest you lose sight of the simple pleasures in life.",1,New England Region,"Charles River at First St at Cambridge, MA",1104705,
Chehalis River,"The Chehalis River has flooded several times, closing highways and even bringing Amtrak trains to a halt. During the Ice Age, glacial runoff fed it much larger. You may be given to the occasional dramatic display. Pay attention to what triggers these, as you may be in an unsuitable environment. Remember that you have the power to shift the landscape to your liking. You come from a very powerful lineage of people.",17,Pacific Northwest Region,"Chehalis River Below Wishkah River at Hoquiam, WA",12038400,
Colorado River,"The Colorado River is one of the most controlled, dammed, and utilized rivers in the world.  Intensive water consumption has dried up the lower 100 miles of the river almost entirely. Be careful not to overtax your resources, especially in the final stretch of a phase or project. It is good to be practical, but remember that it is possible to build so much inflexible infrastructure in one's life that it blocks a natural flow of wellness, prosperity, and intuition. ",15,Lower Colorado Region,"Colorado River at Section 18S, AZ",330131114364101,
Colorado River of Texas,"The Colorado River of Texas is home to several man-made lakes and dams, but its mouth is located at Matagorda Bay, a marshy inlet which supports a seaport, ghost town, series of rice fields, and an enormous number of birds, fish, and invertebrates. Whatever you are seeking now, there is fertile ground for it in your future. Be patient and don't force it.",12,Texas-Gulf Region,"Colorado River near Wadsworth, TX",8162501,
Columbia River,"The Columbia River connects many cultures in the Pacific Northwest, and is home to various species of fish which migrate between fresh and salt water, quite a rare quality in animals. You are more adaptable and social than most, with a tendency to be a bridge between groups and navigate transitions with ease.",17,Pacific Northwest Region,"Columbia River at Port Westward, Near Quincy, OR",14246900,
Connecticut River,"The Connecticut River has been the at the center of centuries of border disputes, between tribes, colonies, states, and eventually even countries. People might fight over their rights to your time and talent. Don't sweat it; carve your own course.",1,New England Region,"Connecticut River at Old Lyme, CT",1194796,
Delaware River,"The Delaware is a famous river, and rightly so: as well as being the site of major historical events, this river has supported shipping, viticulture, and several dredging projects to form canals that would make it more suitable for these activities. The river has also suffered major oil spills over the years. You may be prone to overtaxing yourself, or under a significant amount of stress at the moment. Don't reshape yourself too drastically to meet these demands, but dig deeper to find the calm and strength you need to carry out your projects. Perhaps you could drop a commitment or two.",2,Mid Atlantic Region,"Delaware River at Chester, PA",1477050,
