IMG,Store,Brand,Count,Price,per egg,WholeText,WordCount,ContainerMaterial,Size,Color,Grade,Range,RangeQuote,Humane,USDAOrganic,NonGMOCertified,OtherCertifications,Hormones,HormoneQuote,Antibiotics,Omega3,Cholesterol,Vitamins,Fat,Feed,FeedQuote,Kosher,GMOinFeed,Pesticides,TagLines,Picture,Typography,Fresh
3571,Market Basket,Market Basket,12,$0.89,$0.07,More For Your Dollar Market Basket More For Your Dollar fresh White eggs twelve eggs a grade grade a Large one dozen ,22,Cardboard,Large,White,A,none,,none,none,none,none,none,,none,none,none,none,none,none,,none,none,none,none,none,mostly serif,Fresh
3573,Market Basket,Eggland's Best,12,$2.89,$0.24,farm fresh quality approved eggland's best Cage Free now for your nutritious diet excellent source of vitamins d b12 e b2 b5 plus 125mg omega 3 25% less saturated fat than regular eggs per egg see nutrition facts for cholesterol content brandspark most trusted by american shoppers Vegetarian Fed  hens twelve eggs grade a Large Brown,56,Plastic,Large,Brown,A,Cage Free,Cage Free,none,none,none,Brandspark Most Trusted by American Shoppers,none,,none,125 mg Omega 3,See Nutritional Information for Cholesterol Content,"Excellent Source Vitamins D, B12, E, B2, B5",25% Less Saturated Fat than Regular Eggs,Vegetarian Fed,Vegetarian Fed Hens,none,none,none,Now! For Your Nutritious Diet,Two sunny side up eggs,mostly serif,Farm Fresh
3575,Market Basket,Market Basket,12,$3.09,$0.26,More For Your Dollar Market Basket Cage Free twelve eggs grade a Large fresh Brown farm fresh always from Cage Free hens omega 3 and vitamin e no hormones no antibiotics no animal byproducts fed a vegetarian diet see nutrition information for cholesterol content American Humane Certified the humane touch,50,Plastic,Large,Brown,A,Cage Free,"Cage Free, Always from Cage Free Hens",American Humane Certified,none,none,none,No Hormones,No Hormones*,No Antibiotics,Omega-3,See Nutritional Information for Cholesterol Content,Vitamin E,none,"Vegetarian Fed, No Animal Byproducts","No Animal Byproducts, Fed a Vegetarian Diet",Kosher logo,none,none,Always from Cage Free Hens,A wicker basket filled with brown eggs,mostly serif,Farm Fresh
3576,Market Basket,Nature's Yoke,12,$2.89,$0.24,"Nature's Yoke from Free Range hens kosher Large free-range Certified Humane Raised and Handled twelve eggs grade a Brown no animal by-products, no antibiotics, and no added hormones",28,Plastic,Large,Brown,A,Free Range,"Free Range, From Free-Range Hens",Certfiied Humane Raised and Handled,none,none,none,No Hormones,No Added Hormones*,No Antibiotics,none,none,none,none,No Animal Byproducts,No Animal Byproducts,"""Kosher"" and Kosher logo",none,none,From Free-Range Hens,"A picture of four brown hens in the grass, and a picture of a young girl holding a chicken above the certified humane certificate badge",mostly sans serif,none
3578,Market Basket,Market Basket,12,$1.39,$0.12,Market Basket eggs More For Your Dollar twelve eggs grade a grade a Medium fresh Brown one dozen,18,Cardboard,Medium,Brown,A,none,,none,none,none,none,none,,none,none,none,none,none,none,,none,none,none,none,none,mostly serif,Fresh
3580,Market Basket,Land O Lakes,12,$2.89,$0.24,"Vegetarian Fed  contains no antibiotics, hormones, animal fat, or animal by-products land o lakes good source of vitamin d See Nutritional Information for Cholesterol Content Cage Free eggs Large Brown grade a twelve eggs",34,Plastic,Large,Brown,A,none,,none,none,none,none,No Hormones,Vegetarian Feed contains no hormones*,No Antibiotics,none,See Nutritional Information for Cholesterol Content,Good Source of Vitamin D,none,Vegetarian Feed contains no animal fat or animal by-products,Vegetarian Feed contains no animal fat or animal by-products,Kosher logo,none,none,none,Land O Lakes logo,mostly sans serif,none
3582,Market Basket,Market Basket,18,$0.99,$0.06,More For Your Dollar Market Basket More For Your Dollar eighteen farm fresh eggs keep refrigerated eighteen eggs grade a grade a Large managers special,25,Cardboard,Large,White,A,none,,none,none,none,none,none,,none,none,none,none,none,none,,none,none,none,none,none,mostly serif,Farm Fresh
3583,Market Basket,Market Basket,12,$1.99,$0.17,More For Your Dollar Market Basket More For Your Dollar twelve eggs grade a grade a Extra Large one dozen,20,Cardboard,Extra Large,Brown,A,none,,none,none,none,none,none,,none,none,none,none,none,none,,none,none,none,none,none,mostly serif,Fresh
3584,Market Basket,Nature's Yoke,12,$3.89,$0.32,no antibiotics one hundred percent all natural diet produced on small sustainable farms Nature's Yoke grade a Pasture Raised twelve Large Brown eggs kosher one hundred recyclable carton made from one hundred percent reclaimed paper keep refrigerated,37,Cardboard,Large,Brown,A,Pasture Raised,Pasture Raised,none,none,none,none,none,,No Antibiotics,none,none,none,none,All Natural Diet,100% All Natural Diet,"""Kosher"" and Kosher logo",none,none,"Produced on Small, Sustainable Farms",A picture of lots of hens grazing in the grass next to a pond,a mix,none
3585,Market Basket,Nature's Yoke,12,$4.59,$0.38,certified organic no antibiotics produced on small sustainable farms Nature's Yoke organic Pasture Raised grade a kosher non gmo USDA Organic twelve Large Brown eggs keep refrigerated,27,Cardboard,Large,Brown,A,Pasture Raised,Pasture Raised,none,USDA Organic,none,none,none,,No Antibiotics,none,none,none,none,none,,Kosher logo,none,none,"Produced on Small, Sustainable Farms",A pictureof lots of hens grazing in the grass next to a barn,a mix,none
