web-scraper-order,bank,donor-num,donor-link-href,description,look-alikes,price,race,race-self-described,ethnicity,degree,occupation,weight,height,eye,eye-color-original,hair,hair-color-original,hair-texture,skintone,skin-tone-original,bloodType,donation-age,sign,fave-subjects,jewish,religion,religion-original,goals,pet,describes-himself,hobbies,dominant-hand,hairy-chest,generally-hairy,ear-lobes,beard-color,eyebrows,dimples,acne,acne-info,shoe-size,body-build,face-shape,lips,nose-shape,long-eyelashes,hair-loss,why-donate
1583188402-299,Fairfax,351,https://fairfaxcryobank.com/search/donorprofile.aspx?number=0351&s=1,,,$975,Asian,Asian,Chinese/Chinese,MBA,"Acct. Executive, Student",159,69,Brown,Brown,Black,Black,Straight,3,Medium,B+,29-34,Cancer,,no,Christian,Christian (Non-denominational),,Dog,,"Individual Sports, Viola",,,,,,,,,,,,,,,,,
1583188451-322,Fairfax,406,https://fairfaxcryobank.com/search/donorprofile.aspx?number=0406&s=1,Donor 0406  has a flawless complexion and always dresses very nicely. He is 100% Vietnamese.   He has a muscular build. He is funny and outgoing. He likes to get to know people and converse during his visits.  He goes out on the town frequently and seems to have a large circle of friends.,,$975,Asian,Asian,Vietnamese/Vietnamese,BA/Mgmt Info Syst,Student,140,64,Brown,Brown,Black,Black,Straight,3,Medium,A+,23-28,Gemini,,no,Christian,Christian,,Dog,,"Individual Sports, Team Sports",,,,,,,,,,,,,,,,,
1583189547-464,Fairfax,834,https://fairfaxcryobank.com/search/donorprofile.aspx?number=0834&s=1,"This donor is Korean with a psychology degree working in sales. He is a very optimistic, diligent individual. He strives to help others in need and has a positive outlook on life. He sets high goals for himself and takes interest in numerous activities, making him a well-rounded person. This donor is respectful of others and is an overall calm, caring, gentle person.",,$885,Asian,Asian,Korean/Korean,BA/Psychology,Sales,160,67,Brown,Brown,Black,Black,Straight,3,Medium Light,B+,29-34,Cancer,,no,Christian,Christian,,Dog,,"Individual Sports, Team Sports",,,,,,,,,,,,,,,,,
1583188404-300,Fairfax,846,https://fairfaxcryobank.com/search/donorprofile.aspx?number=0846&s=1,"This donor is a physician who has Chinese ancestry on both sides. He is a father already with a healthy adolescent son. He enjoys playing ping pong and chess. He likes photography as well. He admires those who are clever.  And because he knows he is intelligent, he hopes that will benefit is offspring.",,$975,Asian,Asian,Chinese/Chinese,MD/Medicine,Physician,151,68,Brown,Brown,Black,Black,Straight,3,Medium Light,A+,35-39,Cancer,,no,Christian,Christian,,Cat,,"Individual Sports, Musical, Team Sports",,,,,,,,,,,,,,,,,
1583189549-465,Fairfax,1431,https://fairfaxcryobank.com/search/donorprofile.aspx?number=1431&s=1,,,$975,Hispanic,Latino,Mexican/Mexican-Spanish,MBA/Management,Facility Manager,185,73,Brown,Brown,Black,Black,Straight,3,Medium,O+,18-22,Pisces,,no,Christian,Christian (Church of Christ),,Dog,,"Individual Sports, Public speaking, Team Sports",,,,,,,,,,,,,,,,,
1583189551-466,Fairfax,1482,https://fairfaxcryobank.com/search/donorprofile.aspx?number=1482&s=1,"Donor 1482 is friendly and kind. He is on the shy side. Looking forward, he hopes to live in the country and enjoy the scenery and have a big garden.  He plays several musical instruments. One day he aspires to run a non-profit. He has brown, curly hair and wears little wire-rimmed glasses.",,$975,White,White,Danish-Scottish/German-Irish-Scottish,BA/Communications,New Graduate,176,70,Green,Green,Brown,Brown,Curly,3,Medium Light,A+,23-28,,,no,Not Listed,None,,,,,,,,,,,,,,,,,,,,,
1583189553-467,Fairfax,1862,https://fairfaxcryobank.com/search/donorprofile.aspx?number=1862&s=1,,,$975,Asian,Asian,Chinese/Chinese,PhD/Oncology,Student,170,69,Brown,Brown,Black,Black,Straight,3,Medium,AB+,23-28,Scorpio,,no,Christian,Christian (Baptist),,Dog,,"Individual Sports, Team Sports, Viola",,,,,,,,,,,,,,,,,
1583189555-468,Fairfax,1904,https://fairfaxcryobank.com/search/donorprofile.aspx?number=1904&s=1,,,$885,White,White,Dutch-English-French/Scottish-English,BA/Marketing,Student,197,75,Hazel,Hazel,Brown,Brown,Wavy,3,Medium Light,O+,23-28,Cancer,"Arts, History, Other",no,Christian,Christian,"Fame, Financial Security, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People",Dog,,"Artistic, Creative, Musical, Team Sports",,,,,,,,,,,,,,,,,
1583189557-469,Fairfax,1959,https://fairfaxcryobank.com/search/donorprofile.aspx?number=1959&s=1,"You can see this donor on water skis, very fit and driven, making his way across the lake. He is handsome with beautiful light brown eyes.  He is a business major who prides himself on his self reliance. He considers honesty, compassion, hard work ethic and loyalty to be the most important traits. He is thoughtful and articulate.",,$975,White,White,English-French-German/German-Scottish,BA/Supply Chain Management,Project Manager,206,74,Brown,Brown,Brown,Brown,Straight,3,Medium,O+,18-22,Taurus,"Arts, History",no,Christian,Christian,"Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Individual Sports, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583188012-202,Fairfax,1964,https://fairfaxcryobank.com/search/donorprofile.aspx?number=1964&s=1,"This donor is a funny guy while also being the sensitive, romantic type. He is premed majoring in biology and he sees his ideal job working as a doctor helping athletes with their injuries. He has a slender, fit build and loves running. Our staff thinks he is cute with dimples when he smiles. He admires people who are honest, intelligent and have a good sense of humor.",,$975,White,White,Italian/Danish,BS/Kinesiology,Medical Student,150,72,Hazel,Hazel,Brown,Brown,Straight,3,Medium,A-,18-22,Cancer,"Mathematics, Natural Science, Social Science, Technology",no,Christian,Christian,"Further Education, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, To Be Happy, Travel","Cat, Dog",,"Individual Sports, Musical, Team Sports",,,,,,,,,,,,,,,,,
1583188415-305,Fairfax,2166,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2166&s=1,,,$975,White,White,Irish-Scottish/Irish-Scottish,Doctorate of Medicine,Physician,175,69,Green,Green,Blonde,Blonde,Straight,1,Light,A+,35-39,Gemini,,no,Christian,Christian (Church of Christ),,Dog,,"Guitar, Sports, Travel",,,,,,,,,,,,,,,,,
1583188465-329,Fairfax,2193,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2193&s=1,,,$975,White,White,German/German,MA/International Relations,Management Consultant,175,76,Brown,Brown,Brown,Brown,Straight,3,Medium Light,A+,23-28,Taurus,,no,Christian,Christian (Lutheran),,Cat,,"Piano, Swimming",,,,,,,,,,,,,,,,,
1583188421-308,Fairfax,2246,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2246&s=1,,,$975,White,White,English-Scottish/German-Welsh,MS/American Studies,Reseacher,170,71,Blue,Blue,Blonde,Blonde,Wavy,3,Medium,AB+,23-28,Cancer,,no,Not Listed,None,,Dog,,"Backpacking, Cycling, Individual Sports, Reading, Running, Swimming, Travel",,,,,,,,,,,,,,,,,
1583188470-331,Fairfax,2310,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2310&s=1,Donor 2310 likes to wear the trendy clothes and looks good in them.  He has nice pale blue gray eyes and a cute short haircut that fits him.  He's extremely friendly and fun to be around. He is very outgoing and likes to talk to staff when he is here saying hello to everyone individually. He loves telling everyone about what's going on in his life and hearing about ours.,,$975,White,White,Russian/Bulgarian,MA/International Commerce,Financial Manager,178,70,Blue,Blue,Brown,Brown,Straight,1,Light,AB+,23-28,Taurus,"Arts, Languages, Natural Science, Psychology, Social Science",no,Christian,Christian,"Further Education, Marriage/Family, Politics, Recognition, Success, To Help People, Travel",Dog,,"Individual Sports, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583188571-342,Fairfax,2342,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2342&s=1,"Donor 2342 is in the military and has a very clean cut appearance. When not in uniform he has a casual, uncomplicated style. He is laid back and friendly and always has a smile on his face. He has a kind look about him such that when you look at him you want to smile back yourself. He always wants to chat and tell the lab technicians about his latest activities throughout the week.",,$975,White,White,Scottish/English-German,BS/Emergency Paramedicine,Student,230,74,Brown,Brown,Brown,Brown,Wavy,1,Light,A+,29-34,Gemini,"Arts, History, Languages, Natural Science, Other, Psychology, Social Science",no,Agnostic,Other (Agnostic),"Financial Security, Further Education, Improve Environment, Marriage/Family, Politics, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Individual Sports, Outdoor Recreation, Team Sports",,,,,,,,,,,,,,,,,
1583188428-311,Fairfax,2485,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2485&s=1,,,$975,White,White,German/Native American-Polish,BS/Computer Science and Math,Entrepreneur,177,70,Brown,Brown,Brown,Brown,Wavy,3,Medium,A+,23-28,Sagittarius,"Arts, Languages, Mathematics, Natural Science, Technology",no,Not Listed,None,"Community Service, Financial Security, Further Education, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Art, Cooking, Sports",,,,,,,,,,,,,,,,,
1583187966-180,Fairfax,2503,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2503&s=1,"This is a Chinese donor who is in medical school. His favorite memories growing up are of family, especially the large Chinese New Year's celebrations at grandma's house. Time with family is important to him. He is an avid reader and enjoys keeping fit in his free time.",,$975,Asian,Asian,Chinese/Chinese,MD/Medicine,Student,148,68,Brown,Brown,Black,Black,Straight,3,Medium,AB+,23-28,Gemini,,no,Not Listed,None,,Dog,,"Artistic, Creative, Individual Sports, Team Sports",,,,,,,,,,,,,,,,,
1583188432-313,Fairfax,2535,https://fairfaxcryobank.com/search/donorprofile.aspx?number=2535&s=1,This donor is engaging and thinks it is important to be ‘real'.  He is irritated by those who fabricate who they are to fit in.  He has a passion for cars and computers. He has a lean athletic build with hazel eyes and blond hair.,,$975,White,White,English-Hungarian-Irish/French-Italian,MBA/Marketing,Supply Chain Analyst,150,70,Hazel,Hazel,Blonde,Blonde,Straight,1,Light,O+,18-22,Taurus,"History, Mathematics, Technology",no,Agnostic,Other (Agnostic),"Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel",Dog,,"Computer, Craftsman, Team Sports, Technology",,,,,,,,,,,,,,,,,
