type,properties/site_id,properties/enhanced_gage,properties/new_gage,properties/reactivated_gage,properties/camera,properties/specific_conductance,properties/temperature,properties/latitude,properties/longitude,properties/flyToCommands/bearing,properties/flyToCommands/center/0,properties/flyToCommands/center/1,properties/flyToCommands/zoom,properties/flyToCommands/pitch,properties/flyToCommands/speed,properties/flyToCommands/curve,properties/flyToCommands/essential,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,USGS-01423000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,42.1661111,-75.14002778,350,-75.14002778,42.1661111,8,90,0.2,1,TRUE,Point,-75.14002778,42.1661111
Feature,USGS-01423000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,42.1661111,-75.14002778,350,-75.14002778,42.1661111,8,90,0.2,1,TRUE,Point,-75.14002778,42.1661111
Feature,USGS-01415460,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,42.1471111,-74.9052222,350,-74.9052222,42.1471111,8,90,0.2,1,TRUE,Point,-74.9052222,42.1471111
Feature,USGS-01413500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,42.1447222,-74.6536111,350,-74.6536111,42.1447222,8,90,0.2,1,TRUE,Point,-74.6536111,42.1447222
Feature,USGS-01413500,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,42.1447222,-74.6536111,350,-74.6536111,42.1447222,8,90,0.2,1,TRUE,Point,-74.6536111,42.1447222
Feature,USGS-01414000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.13306,-74.69556,350,-74.69556,42.13306,8,90,0.2,1,TRUE,Point,-74.69556,42.13306
Feature,USGS-01415000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,42.12,-74.8186111,350,-74.8186111,42.12,8,90,0.2,1,TRUE,Point,-74.8186111,42.12
Feature,USGS-01414500,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,42.1061111,-74.7305556,350,-74.7305556,42.1061111,8,90,0.2,1,TRUE,Point,-74.7305556,42.1061111
Feature,USGS-01414750,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,42.0773095,-74.9673856,350,-74.9673856,42.0773095,8,90,0.2,1,TRUE,Point,-74.9673856,42.0773095
Feature,USGS-01414750,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,42.0773095,-74.9673856,350,-74.9673856,42.0773095,8,90,0.2,1,TRUE,Point,-74.9673856,42.0773095
Feature,USGS-01417000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,42.075,-74.97638889,350,-74.97638889,42.075,8,90,0.2,1,TRUE,Point,-74.97638889,42.075
Feature,USGS-01425000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.07491667,-75.3958056,350,-75.3958056,42.07491667,8,90,0.2,1,TRUE,Point,-75.3958056,42.07491667
Feature,USGS-01423910,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,42.0628618,-75.3798977,350,-75.3798977,42.0628618,8,90,0.2,1,TRUE,Point,-75.3798977,42.0628618
Feature,USGS-01425805,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,42.0586111,-75.4280556,350,-75.4280556,42.0586111,8,90,0.2,1,TRUE,Point,-75.4280556,42.0586111
Feature,USGS-01434021,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,42.0111111,-74.4144444,350,-74.4144444,42.0111111,8,90,0.2,1,TRUE,Point,-74.4144444,42.0111111
Feature,USGS-01426500,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,42.00302778,-75.38352778,350,-75.38352778,42.00302778,8,90,0.2,1,TRUE,Point,-75.38352778,42.00302778
Feature,USGS-01434025,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,41.9960833,-74.5002222,350,-74.5002222,41.9960833,8,90,0.2,1,TRUE,Point,-74.5002222,41.9960833
Feature,USGS-01421000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.97355556,-75.1751944,350,-75.1751944,41.97355556,8,90,0.2,1,TRUE,Point,-75.1751944,41.97355556
Feature,USGS-0143400680,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,41.96694444,-74.4480556,350,-74.4480556,41.96694444,8,90,0.2,1,TRUE,Point,-74.4480556,41.96694444
Feature,USGS-01420500,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,41.94641667,-74.9796667,350,-74.9796667,41.94641667,8,90,0.2,1,TRUE,Point,-74.9796667,41.94641667
