station,begin_date,end_date,count_nu,dec_lat_va,dec_long_va
1365100,12/19/2018,5/27/2020,525,41.8521111,-74.51302778
1365550,9/13/2018,5/27/2020,622,41.8490833,-74.5318333
1412000,10/1/1981,2/28/1985,1246,39.41916667,-74.9658333
1413500,4/2/1987,5/27/2020,12109,42.1447222,-74.6536111
1414000,12/5/1996,5/27/2020,8574,42.13305556,-74.6955556
1414500,10/1/1990,5/27/2020,10831,42.1061111,-74.7305556
1415000,10/1/1990,5/27/2020,10831,42.12,-74.8186111
1417000,10/1/1990,5/27/2020,10831,42.075,-74.97638889
1419500,8/30/2018,5/27/2020,636,41.9033333,-74.81277778
1420500,4/1/1987,5/27/2020,12110,41.94641667,-74.9796667
1421000,10/1/1990,5/27/2020,10831,41.97355556,-75.1751944
1423000,10/1/1990,5/27/2020,10831,42.1661111,-75.14002778
1425000,3/1/1986,5/27/2020,12506,42.07491667,-75.3958056
1425805,12/12/2019,5/27/2020,167,42.04869444,-75.4851944
1426500,10/1/1990,5/27/2020,10831,42.00302778,-75.38352778
1427195,9/12/2018,5/27/2020,623,41.84027778,-75.2383333
1427207,10/1/2006,5/27/2020,4987,41.86727778,-75.21375
1427500,5/28/2017,5/27/2020,1095,41.76055556,-75.04838889
1427510,10/1/1990,5/27/2020,10831,41.75675,-75.0574167
1428000,8/16/2018,5/27/2020,650,41.56388889,-75.0144444
1428500,10/1/1990,5/27/2020,10831,41.50875,-74.9860556
1431500,10/2/1986,5/27/2020,12291,41.4762002,-75.1721186
1432160,5/28/2017,5/27/2020,1095,41.47536824,-74.91238898
1432495,9/11/2018,5/27/2020,624,41.45,-74.9216667
1433500,10/1/1990,5/27/2020,10831,41.4612222,-74.75877778
1434000,10/1/1990,5/27/2020,10831,41.37055556,-74.6975
143400680,10/1/2007,5/27/2020,4622,41.96694444,-74.4480556
1434017,7/1/1991,5/27/2020,10558,41.92527778,-74.54027778
1434021,10/21/2007,5/27/2020,4602,42.0111111,-74.4144444
1434025,6/8/1983,5/27/2020,13503,41.9960833,-74.5002222
1434498,7/1/1991,5/27/2020,10558,41.92041667,-74.57438889
1435000,4/1/1987,5/27/2020,12110,41.89,-74.59
1436000,10/1/1990,5/27/2020,10831,41.82,-74.6355556
1436690,10/1/1992,5/27/2020,10100,41.63805556,-74.61688889
1437500,10/23/1990,5/27/2020,10809,41.4411111,-74.6019444
1438500,10/1/1981,5/27/2020,14118,41.30916667,-74.79527778
1439500,10/1/1990,5/27/2020,10831,41.08815078,-75.03767469
1440000,10/3/1981,5/27/2020,14116,41.1061111,-74.9525
1440400,10/1/1990,5/27/2020,10831,41.0848148,-75.2146251
1446500,10/1/1981,5/27/2020,14118,40.82638889,-75.0825
1451380,11/12/2019,5/27/2020,197,40.53120755,-75.60046519
1451500,10/1/1990,5/27/2020,10831,40.5823197,-75.48296088
1451650,10/1/2007,5/27/2020,4622,40.59648637,-75.4740717
1451800,10/1/1990,5/27/2020,10831,40.66176219,-75.626854
1455290,8/22/2018,5/27/2020,644,40.6354722,-75.16863889
1457500,10/1/2018,5/27/2020,604,40.5947222,-75.1897222
1463500,10/1/1981,5/27/2020,14118,40.22166667,-74.7780556
1464290,10/31/2019,5/27/2020,209,40.0361111,-74.5361111
1464500,10/1/1981,5/27/2020,14118,40.1372222,-74.6
1465500,10/1/2007,5/27/2020,4622,40.1739982,-74.9568342
1465850,11/3/1999,5/27/2020,7511,39.94,-74.7630556
1465880,12/2/2005,9/30/2009,1398,39.89527778,-74.8236111
1466500,10/1/1981,5/27/2020,14118,39.885,-74.50527778
1466900,8/21/1998,5/27/2020,7950,39.9561111,-74.62777778
1467000,10/1/1981,5/27/2020,14118,39.97,-74.6844444
1467024,9/26/2019,5/27/2020,244,40.02916667,-74.9316667
1467081,10/1/1981,5/27/2020,14118,39.94166667,-75.0011111
1467087,10/19/1990,5/27/2020,10813,40.0159454,-75.0968411
1467150,10/1/1981,5/27/2020,14118,39.90305556,-75.02138889
1471875,10/1/1993,5/27/2020,9735,40.339538,-75.7421359
1473000,10/1/1986,5/27/2020,12292,40.22954725,-75.451567
1474500,1/26/1986,5/27/2020,12540,39.9678905,-75.1885123
1475510,11/19/2018,5/27/2020,555,39.92900154,-75.2724064
1477120,10/1/1981,5/27/2020,14118,39.74055556,-75.2591667
1478000,10/1/1988,5/27/2020,11561,39.63738889,-75.72788889
1478120,10/6/2007,5/27/2020,4617,39.8284429,-75.780773
1478245,8/2/1996,5/27/2020,8699,39.7475,-75.7708333
1478650,10/13/1994,5/27/2020,9358,39.6892222,-75.74875
1479000,10/1/1988,5/27/2020,11561,39.6992222,-75.67502778
1480000,10/1/1988,5/27/2020,11561,39.76280556,-75.6365
1481000,10/1/2007,5/27/2020,4622,39.8698328,-75.5932623
1484100,10/1/1990,5/27/2020,10831,38.90577778,-75.51275
