,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu
8,USGS,1365100,CANNONSVILLE RES DIV CHANNEL NR GRAHAMSVILLE NY,ST,41.8521111,-74.51302778,1,NAD83,839,4.3,NAVD88,2020007,uv,10,NA,243852,NA,wat,NA,1645597,0,12/19/2018,5/27/2020,525
13,USGS,1365550,CHESTNUT CREEK AT MOUTH AT GRAHAMSVILLE NY,ST,41.8490833,-74.5318333,1,NAD83,NA,NA,NA,2020007,uv,10,NA,239885,NA,wat,NA,1645597,0,9/13/2018,5/27/2020,622
84,USGS,1412000,Menantico Creek near Millville NJ,ST,39.41916667,-74.9658333,S,NAD83,36.63,5,NGVD29,2040206,uv,10,NA,254579,NA,wat,NA,1645597,0,9/24/2019,5/27/2020,246
111,USGS,1412080,Manumuskin River at Cumberland NJ,ST,39.37305556,-74.9447222,S,NAD83,NA,NA,NA,2040206,uv,10,NA,254870,NA,wat,NA,1645597,0,10/1/2019,5/27/2020,239
211,USGS,1413500,EAST BRANCH DELAWARE RIVER AT MARGARETVILLE NY,ST,42.1447222,-74.6536111,S,NAD83,1301.67,0.01,NAVD88,2040102,uv,10,NA,240488,NA,wat,NA,1645597,0,9/20/2018,5/27/2020,615
849,USGS,1414500,MILL BROOK NEAR DUNRAVEN NY,ST,42.1061111,-74.7305556,S,NAD83,1297.22,0.01,NAVD88,2040102,uv,10,NA,255610,NA,wat,NA,1645597,0,10/9/2019,5/27/2020,231
853,USGS,1414750,PEPACTON RESERVOIR NEAR LEWBEACH NY,LK,42.08752778,-74.8196667,1,NAD83,NA,NA,NA,2040102,uv,10,NA,254039,"[at 1,187 ft above NAVD of 1988]",wat,NA,1645597,0,9/13/2019,5/27/2020,257
854,USGS,1414750,PEPACTON RESERVOIR NEAR LEWBEACH NY,LK,42.08752778,-74.8196667,1,NAD83,NA,NA,NA,2040102,uv,10,NA,254040,"[at 1,224 ft above NAVD of 1988]",wat,NA,1645597,0,9/13/2019,5/27/2020,257
855,USGS,1414750,PEPACTON RESERVOIR NEAR LEWBEACH NY,LK,42.08752778,-74.8196667,1,NAD83,NA,NA,NA,2040102,uv,10,NA,254041,"[at 1,263 ft above NAVD of 1988]",wat,NA,1645597,0,12/9/2019,5/27/2020,170
987,USGS,1415000,TREMPER KILL NEAR ANDES NY,ST,42.12,-74.8186111,S,NAD83,1285.2,0.01,NAVD88,2040102,uv,10,NA,255496,NA,wat,NA,1645597,0,10/9/2019,5/27/2020,231
1028,USGS,1415460,TERRY CLOVE KILL NEAR DE LANCEY NY,ST,42.1471111,-74.9052222,1,NAD83,NA,NA,NA,2040102,uv,10,NA,257246,NA,wat,NA,1645597,0,12/12/2019,5/27/2020,167
1157,USGS,1417000,EAST BRANCH DELAWARE RIVER AT DOWNSVILLE NY,ST,42.075,-74.97638889,S,NAD83,1094.92,0.01,NGVD29,2040102,uv,10,NA,251725,NA,wat,NA,1645597,0,7/12/2019,5/27/2020,320
1199,USGS,1419500,WILLOWEMOC CREEK NR LIVINGSTON MANOR NY,ST,41.9033333,-74.81277778,S,NAD83,1433.14,0.01,NAVD88,2040102,uv,10,NA,238905,NA,wat,NA,1645597,0,8/30/2018,5/27/2020,636
1507,USGS,1420500,BEAVER KILL AT COOKS FALLS NY,ST,41.94641667,-74.9796667,1,NAD83,1151.7,0.01,NGVD29,2040102,uv,10,NA,107281,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
1665,USGS,1421000,EAST BRANCH DELAWARE RIVER AT FISHS EDDY NY,ST,41.97355556,-75.1751944,1,NAD83,955.47,0.01,NAVD88,2040102,uv,10,NA,107286,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
2122,USGS,1423000,WEST BRANCH DELAWARE RIVER AT WALTON NY,ST,42.1661111,-75.14002778,1,NAD83,1189.88,0.01,NAVD88,2040101,uv,10,NA,241785,NA,wat,NA,1645597,0,10/18/2018,5/27/2020,587
2126,USGS,1423910,CANNONSVILLE RESERVOIR NEAR KELSEY NY,LK,42.08880556,-75.3125,1,NAD83,1150,10,NAVD88,2040101,uv,10,NA,257339,"[at 1,053 ft above NAVD of 1988]",wat,NA,1645597,0,12/6/2019,5/27/2020,173
2127,USGS,1423910,CANNONSVILLE RESERVOIR NEAR KELSEY NY,LK,42.08880556,-75.3125,1,NAD83,1150,10,NAVD88,2040101,uv,10,NA,257661,"[at 1,107 ft above NAVD of 1988]",wat,NA,1645597,0,11/23/2019,5/27/2020,186
2128,USGS,1423910,CANNONSVILLE RESERVOIR NEAR KELSEY NY,LK,42.08880556,-75.3125,1,NAD83,1150,10,NAVD88,2040101,uv,10,NA,257663,"[at 1,144 ft above NAVD of 1988]",wat,NA,1645597,0,3/3/2020,5/27/2020,85
2346,USGS,1425000,WEST BRANCH DELAWARE RIVER AT STILESVILLE NY,ST,42.07491667,-75.3958056,1,NAD83,991.68,0.01,NAVD88,2040101,uv,10,NA,107317,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
2350,USGS,1425805,OQUAGA CREEK AT MCCLURE NY,ST,42.04869444,-75.4851944,1,NAD83,1069,4.3,NAVD88,2040101,uv,10,NA,257277,NA,wat,NA,1645597,0,12/12/2019,5/27/2020,167
2508,USGS,1426500,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,ST,42.00302778,-75.38352778,1,NAD83,945.98,0.01,NAVD88,2040101,uv,10,NA,107321,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
2524,USGS,1427195,"Equinunk Creek near Dillontown, PA",ST,41.84027778,-75.2383333,S,NAD83,913,2,NAVD88,2040101,uv,10,NA,240631,NA,wat,NA,1645597,0,9/12/2018,5/27/2020,623
2577,USGS,1427207,DELAWARE RIVER AT LORDVILLE NY,ST,41.86727778,-75.21375,1,NAD83,834.51,0.01,NAVD88,2040101,uv,10,NA,107332,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
2769,USGS,1427500,CALLICOON CREEK AT CALLICOON NY,ST,41.76055556,-75.04838889,1,NAD83,759.3,0.01,NAVD88,2040101,uv,10,NA,249763,NA,wat,NA,1645597,0,5/16/2019,5/27/2020,377
2825,USGS,1427510,DELAWARE RIVER AT CALLICOON NY,ST,41.75675,-75.0574167,1,NAD83,734.88,0.01,NGVD29,2040101,uv,10,NA,107338,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
2889,USGS,1428000,TENMILE RIVER AT TUSTEN NY,ST,41.56388889,-75.0144444,S,NAD83,NA,NA,NA,2040101,uv,10,NA,238379,NA,wat,NA,1645597,0,8/16/2018,5/27/2020,650
2968,USGS,1428500,DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY,ST,41.50875,-74.9860556,1,NAD83,599.51,0.01,NAVD88,2040101,uv,10,NA,107344,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
3394,USGS,1431500,"Lackawaxen River at Hawley, PA",ST,41.4762002,-75.1721186,S,NAD83,869,0.01,NGVD29,2040103,uv,10,NA,121199,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
3403,USGS,1432160,DELAWARE RIVER AT BARRYVILLE NY,ST,41.47536824,-74.91238898,S,NAD83,NA,NA,NA,2040104,uv,10,NA,107349,NA,wat,NA,1645597,0,10/1/2007,5/27/2020,4622
3414,USGS,1432495,"Shohola Creek near Walker Lake, PA",ST,41.45,-74.9216667,S,NAD83,710,2,NAVD88,2040104,uv,10,NA,247683,NA,wat,NA,1645597,0,4/23/2019,5/27/2020,400
3524,USGS,1433500,MONGAUP RIVER NEAR MONGAUP NY,ST,41.4612222,-74.75877778,1,NAD83,623.49,0.01,NAVD88,2040104,uv,10,NA,107363,NA,wat,NA,1645597,0,10/1/2013,5/27/2020,2430
4292,USGS,1434000,DELAWARE RIVER AT PORT JERVIS NY,ST,41.37055556,-74.6975,S,NAD83,414.71,0.01,NAVD88,2040104,uv,10,NA,250890,NA,wat,NA,1645597,0,6/13/2019,5/27/2020,349
4375,USGS,143400680,E BR NEVERSINK R NORTHEAST OF DENNING NY,ST,41.96694444,-74.4480556,S,NAD83,2140.7,0.01,NAVD88,2040104,uv,10,NA,254834,NA,wat,NA,1645597,0,9/27/2019,5/27/2020,243
4517,USGS,1434017,EAST BRANCH NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.92527778,-74.54027778,S,NAD83,1727.43,0.01,NAVD88,2040104,uv,10,NA,259329,NA,wat,NA,1645597,0,1/16/2020,5/27/2020,132
4618,USGS,1434021,W BR NEVERSINK R AT WINNISOOK L NR FROST VALLEY NY,ST,42.0111111,-74.4144444,S,NAD83,2675,0.01,NAVD88,2040104,uv,10,NA,254219,NA,wat,NA,1645597,0,9/16/2019,5/27/2020,254
4828,USGS,1434025,BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY,ST,41.9960833,-74.5002222,1,NAD83,2083.02,0.01,NGVD29,2040104,uv,10,NA,219847,NA,wat,NA,1645597,0,10/23/2017,5/14/2020,934
4984,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,259068,NA,wat,NA,1645597,0,1/10/2020,5/27/2020,138
4985,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262761,[Profiler1.Depth15cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4986,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262763,[Profiler2.Depth5cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4987,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262764,[Profiler2.Depth15cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4988,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262766,[Profiler2.Depth20cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4989,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262767,[Profiler2.Depth0cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4990,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262768,[Profiler1.Depth0cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4991,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262769,[Profiler1.Depth20cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4992,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262770,[Profiler1.Depth10cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4993,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262773,[Profiler2.Depth10cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4994,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262776,[Profiler1.Depth5cm],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4995,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262815,[Profiler3.Depth5cm],wat,NA,1645597,0,1/30/2020,5/27/2020,118
4996,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262816,[WTCond.Piezometer2],wat,NA,1645597,0,1/29/2020,5/27/2020,119
4997,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262817,[WTTrans.Piezometer3],wat,NA,1645597,0,9/20/2019,5/27/2020,250
4998,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262819,[WTCond.Piezometer3],wat,NA,1645597,0,9/18/2019,5/27/2020,252
4999,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262820,[Profiler3.Depth0cm],wat,NA,1645597,0,1/30/2020,5/27/2020,118
5000,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262821,[WTTrans.Piezometer2],wat,NA,1645597,0,9/18/2019,5/27/2020,252
5001,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262822,[Profiler3.Depth15cm],wat,NA,1645597,0,1/30/2020,5/27/2020,118
5002,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262823,[WT.Side Channel],wat,NA,1645597,0,9/18/2019,1/29/2020,133
5003,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262824,[Profiler3.Depth10cm],wat,NA,1645597,0,1/30/2020,5/27/2020,118
5004,USGS,1434498,WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY,ST,41.92041667,-74.57438889,1,NAD83,1615.75,0.01,NAVD88,2040104,uv,10,NA,262826,[Profiler3.Depth20cm],wat,NA,1645597,0,1/30/2020,5/27/2020,118
5534,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,107393,NA,wat,NA,1645597,0,1/12/2012,5/27/2020,3058
5535,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261856,[Profiler1.Depth5cm],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5536,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261860,[Profiler1.Depth0cm],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5537,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261868,[Profiler1.Depth15cm],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5538,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261869,[Profiler1.Depth10cm],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5539,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261889,[Profiler3.Depth20cm],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5540,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261890,[WTTrans.Piezometer3],wat,NA,1645597,0,9/20/2019,5/27/2020,250
5541,USGS,1435000,NEVERSINK RIVER NEAR CLARYVILLE NY,ST,41.89,-74.59,S,NAD83,1521.67,0.01,NAVD88,2040104,uv,10,NA,261891,[WTCond.Piezometer2],wat,NA,1645597,0,9/20/2019,1/30/2020,132
