station,begin_date,end_date,count_nu,dec_lat_va,dec_long_va
1413500,10/8/2019,5/27/2020,232,42.1447222,-74.6536111
1414500,10/9/2019,5/27/2020,231,42.1061111,-74.7305556
1415000,10/9/2019,5/27/2020,231,42.12,-74.8186111
1423000,10/17/2019,5/27/2020,223,42.1661111,-75.14002778
1427207,6/13/2019,5/27/2020,349,41.86727778,-75.21375
1427510,6/2/2012,5/27/2020,2916,41.75675,-75.0574167
1432160,8/20/2019,5/27/2020,281,41.47536824,-74.91238898
1433500,10/1/2013,5/27/2020,2430,41.4612222,-74.75877778
1434000,6/13/2019,5/27/2020,349,41.37055556,-74.6975
143400680,9/27/2019,5/27/2020,243,41.96694444,-74.4480556
1434017,1/16/2020,5/27/2020,132,41.92527778,-74.54027778
1434021,9/16/2019,5/27/2020,254,42.0111111,-74.4144444
1434025,1/24/2020,5/27/2020,124,41.9960833,-74.5002222
1434498,1/10/2020,5/27/2020,138,41.92041667,-74.57438889
1435000,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1436000,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1436655,1/29/2020,5/27/2020,119,41.92041667,-74.57438889
1436690,1/3/2020,5/27/2020,145,41.89,-74.59
1437100,9/20/2019,1/30/2020,132,41.89,-74.59
1437400,1/30/2020,5/27/2020,118,41.89,-74.59
1437500,9/20/2019,11/26/2019,67,41.89,-74.59
1438500,12/10/2019,5/27/2020,169,41.82,-74.6355556
1439500,11/22/2019,5/27/2020,187,41.6678695,-74.6229383
1440000,1/16/2020,5/27/2020,132,41.63805556,-74.61688889
1440400,12/10/2019,5/27/2020,169,41.5986111,-74.4686111
1446500,10/19/2019,5/27/2020,221,41.45342667,-74.58849408
1451380,12/11/2019,5/27/2020,168,41.4411111,-74.6019444
1451500,10/2/2019,5/27/2020,238,41.30916667,-74.79527778
1451630,11/20/2019,5/27/2020,189,41.08815078,-75.03767469
1451650,2/3/2020,5/27/2020,114,41.1061111,-74.9525
1451800,11/20/2019,5/27/2020,189,41.0848148,-75.2146251
1458500,3/13/2019,5/27/2020,441,40.82638889,-75.0825
1463500,11/12/2019,5/27/2020,197,40.53120755,-75.60046519
1464290,10/10/2019,5/27/2020,230,40.5823197,-75.48296088
1464500,1/16/2020,5/27/2020,132,40.5875,-75.4968056
1465500,10/11/2019,5/27/2020,229,40.59648637,-75.4740717
1465850,10/11/2019,5/27/2020,229,40.66176219,-75.626854
146587310,10/1/2014,5/27/2020,2065,40.5261111,-75.065
1465880,10/1/2007,5/27/2020,4622,40.22166667,-74.7780556
1466500,6/9/2009,5/27/2020,4005,40.0361111,-74.5361111
1466900,1/31/2020,5/27/2020,117,40.1372222,-74.6
1467000,12/14/2018,5/27/2020,530,40.1739982,-74.9568342
1467005,11/14/2019,5/27/2020,195,39.94,-74.7630556
1467024,12/13/2019,5/27/2020,166,39.8677222,-74.84175
1467081,3/11/2020,5/27/2020,77,39.89527778,-74.8236111
1467087,10/9/2019,5/27/2020,231,39.885,-74.50527778
1467150,11/12/2019,5/27/2020,197,39.9561111,-74.62777778
1467200,1/6/2020,5/27/2020,142,39.97,-74.6844444
1473000,1/30/2020,5/27/2020,118,39.99305556,-74.78138889
1474500,9/25/2019,5/27/2020,245,40.02916667,-74.9316667
1474703,11/7/2019,5/27/2020,202,39.94166667,-75.0011111
1475510,10/1/2018,5/27/2020,604,40.0159454,-75.0968411
1477050,2/25/2020,5/27/2020,92,39.90305556,-75.02138889
1477070,10/1/2007,5/27/2020,4622,39.95400165,-75.1373987
1477120,1/16/2020,5/27/2020,132,39.95400165,-75.1373987
1478100,1/25/2020,5/27/2020,123,39.95400165,-75.1373987
1478120,1/16/2020,5/27/2020,132,39.95400165,-75.1373987
1478137,11/29/2018,5/27/2020,545,40.22954725,-75.451567
1478220,10/1/2018,5/27/2020,604,39.9678905,-75.1885123
1478245,10/1/2007,5/27/2020,4622,39.8792798,-75.20268029
1478650,10/18/2019,5/27/2020,222,39.92900154,-75.2724064
1478950,10/1/2007,5/27/2020,4622,39.84555556,-75.3508333
1479000,1/29/2020,5/27/2020,119,39.6861111,-75.1844444
1481000,5/13/2020,5/27/2020,14,39.74055556,-75.2591667
1482695,1/15/2020,5/27/2020,133,39.8584423,-75.7832743
1484100,11/14/2019,5/27/2020,195,39.8284429,-75.780773
,12/4/2019,5/27/2020,175,39.8217764,-75.7791061
,3/5/2020,5/27/2020,83,39.76566619,-75.7960492
,10/1/2019,5/27/2020,239,39.7475,-75.7708333
,9/19/2019,5/27/2020,251,39.6892222,-75.74875
,10/2/2019,5/27/2020,238,39.7068861,-75.6950944
,10/18/2018,5/27/2020,587,39.6992222,-75.67502778
,10/1/2007,5/27/2020,4622,39.8698328,-75.5932623
,11/21/2019,5/27/2020,188,39.55405556,-75.6188611
,9/18/2019,5/27/2020,252,38.90577778,-75.51275
