station,begin_date,end_date,count_nu,dec_lat_va,dec_long_va
1365100,12/19/2018,5/27/2020,525,41.8521111,-74.51302778
1365550,9/13/2018,5/27/2020,622,41.8490833,-74.5318333
1412000,9/24/2019,5/27/2020,246,39.41916667,-74.9658333
1412080,10/1/2019,5/27/2020,239,39.37305556,-74.9447222
1413500,9/20/2018,5/27/2020,615,42.1447222,-74.6536111
1414500,10/9/2019,5/27/2020,231,42.1061111,-74.7305556
1414750,9/13/2019,5/27/2020,257,42.08752778,-74.8196667
1415000,9/13/2019,5/27/2020,257,42.08752778,-74.8196667
1415460,12/9/2019,5/27/2020,170,42.08752778,-74.8196667
1417000,10/9/2019,5/27/2020,231,42.12,-74.8186111
1419500,12/12/2019,5/27/2020,167,42.1471111,-74.9052222
1420500,7/12/2019,5/27/2020,320,42.075,-74.97638889
1421000,8/30/2018,5/27/2020,636,41.9033333,-74.81277778
1423000,10/1/2007,5/27/2020,4622,41.94641667,-74.9796667
1423910,10/1/2007,5/27/2020,4622,41.97355556,-75.1751944
1425000,10/18/2018,5/27/2020,587,42.1661111,-75.14002778
1425805,12/6/2019,5/27/2020,173,42.08880556,-75.3125
1426500,11/23/2019,5/27/2020,186,42.08880556,-75.3125
1427195,3/3/2020,5/27/2020,85,42.08880556,-75.3125
1427207,10/1/2007,5/27/2020,4622,42.07491667,-75.3958056
1427500,12/12/2019,5/27/2020,167,42.04869444,-75.4851944
1427510,10/1/2007,5/27/2020,4622,42.00302778,-75.38352778
1428000,9/12/2018,5/27/2020,623,41.84027778,-75.2383333
1428500,10/1/2007,5/27/2020,4622,41.86727778,-75.21375
1431500,5/16/2019,5/27/2020,377,41.76055556,-75.04838889
1432160,10/1/2007,5/27/2020,4622,41.75675,-75.0574167
1432495,8/16/2018,5/27/2020,650,41.56388889,-75.0144444
1433500,10/1/2007,5/27/2020,4622,41.50875,-74.9860556
1434000,10/1/2007,5/27/2020,4622,41.4762002,-75.1721186
143400680,10/1/2007,5/27/2020,4622,41.47536824,-74.91238898
1434017,4/23/2019,5/27/2020,400,41.45,-74.9216667
1434021,10/1/2013,5/27/2020,2430,41.4612222,-74.75877778
1434025,6/13/2019,5/27/2020,349,41.37055556,-74.6975
1434498,9/27/2019,5/27/2020,243,41.96694444,-74.4480556
1435000,1/16/2020,5/27/2020,132,41.92527778,-74.54027778
1435900,9/16/2019,5/27/2020,254,42.0111111,-74.4144444
1436000,10/23/2017,5/14/2020,934,41.9960833,-74.5002222
1436655,1/10/2020,5/27/2020,138,41.92041667,-74.57438889
1436690,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1437100,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1437400,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1437500,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1438500,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1439500,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1440000,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1440400,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1446500,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
1451380,9/18/2019,5/27/2020,252,41.92041667,-74.57438889
